Release Coconut 62;;;;;;;;;;;;;;;;;;;;;;
Anmeldung;Tech.;Component (km);Trunk;Atrifactory Version-Build-ID;"first IEU-Deployment
(tt.mm.jj)";UE;2 Config EU / IEU;3 Configuration.yml;4 Release Notes;5 Dependencies;6 ITU verfügbar;7 Deployment Support verfügbar;8 CI/CD verfügbar;9 SW verfügbar;10 Config ITU;11 Abnahme IEU;12 Integrationstest IEU;13 Testplan verfügbar;14 Deploymentplan ITU;15 CAB-Freigabe für ITU;;
C;SAG;BPMN-IS-CommonUtils;SAG\IS.Common.Utils;;;15;2;1;1;-1;2;2;2;-1;-1;-1;1;-1;2;-1;"Nachtrag aus UE: 
das IS.Common.Utils Projekt immer alleine deployen und nicht parallel zu anderen SAG
Komponenten (gibt sonst Probleme).";
C;SAG;BPMN-KonBel-Datentransfer;SAG\KonBel.Datentransfer;;;15;2;1;1;-1;2;2;2;-1;-1;-1;1;-1;2;-1;;
C;SAG;BPMN-ProzessSteuerung-PhaseE;SAG\ProzessSteuerung.PhaseE;;;15;2;1;1;-1;2;2;2;-1;-1;-1;1;-1;2;-1;;
C;SAG;BPMN-ProzessSteuerung-PhaseG;SAG\ProzessSteuerung.PhaseG;;;15;2;1;1;-1;2;2;2;-1;-1;-1;1;-1;2;-1;;
n/a;Smalltak;GFDZ-Client;Smalltalk\GFDZ_Client#;;;17;99;99;99;99;99;99;2;99;99;99;99;99;99;99;;
n/a;Smalltak;GFDZ-Server;Smalltalk\GFDZ_Server;;;17;99;99;99;99;99;99;2;99;99;99;99;99;99;99;;
n/a;Smalltak;RUTK-Client;Smalltalk\RUTK_Client;;;19;99;99;99;99;99;99;2;99;99;99;99;99;99;99;;
n/a;Smalltak;RUTK-Server;Smalltalk\RUTK_Server;;;19;99;99;99;99;99;99;2;99;99;99;99;99;99;99;;
n/a;TIBCO;ESB-ClaimService;TIBCO\BW6\ClaimService;;;15;99;99;99;99;99;99;2;99;99;99;99;99;99;99;;
U;TIBCO;ESB-InfrastrukturVerwaltung;TIBCO\BW6\Infrastrukturverwaltung;;;15;2;1;1;-1;2;2;2;-1;2;-1;1;-1;2;-1;;
